YYYYMMDD, C072, G072,TmeanDay_C
20030110,-9999,-24,-2.4
20030111,-9999,-22,-2.2
20030112,-9999,-36,-3.6
20030113,-9999,-21,-2.1
20030114,-9999,-3,-0.3
20030115,-9999,21,2.1
20030116,-9999,32,3.2
20030117,-9999,18,1.8
20030118,-9999,51,5.1
20030119,-9999,50,5
20030120,-9999,58,5.8
20030121,-9999,49,4.9
20030122,-9999,42,4.2
20030123,-9999,28,2.8
20030124,-9999,25,2.5
20030125,-9999,42,4.2
20030126,-9999,48,4.8
20030127,-9999,78,7.8
20030128,-9999,46,4.6
20030129,-9999,-1,-0.1
20030130,-9999,0,0
20030131,-9999,-31,-3.1
20030201,-9999,-6,-0.6
20030202,-9999,31,3.1
20030203,-9999,38,3.8
20030204,-9999,27,2.7
20030205,-9999,13,1.3
20030206,-9999,30,3
20030207,-9999,34,3.4
20030208,-9999,59,5.9
20030209,-9999,46,4.6
20030210,-9999,38,3.8
20030211,-9999,42,4.2
20030212,-9999,26,2.6
20030213,-9999,18,1.8
20030214,-9999,-7,-0.7
20030215,-9999,-28,-2.8
20030216,-9999,-33,-3.3
20030217,-9999,-37,-3.7
20030218,-9999,-31,-3.1
20030219,-9999,-16,-1.6
20030220,-9999,4,0.4
20030221,-9999,37,3.7
20030222,-9999,46,4.6
20030223,-9999,60,6
20030224,-9999,60,6
20030225,-9999,56,5.6
20030226,-9999,53,5.3
20030227,-9999,49,4.9
20030228,-9999,60,6
20030301,-9999,81,8.1
20030302,-9999,71,7.1
20030303,-9999,88,8.8
20030304,-9999,108,10.8
20030305,-9999,75,7.5
20030306,-9999,47,4.7
20030307,-9999,58,5.8
20030308,-9999,76,7.6
20030309,-9999,104,10.4
20030310,-9999,111,11.1
20030311,-9999,113,11.3
20030312,-9999,112,11.2
20030313,-9999,136,13.6
20030314,-9999,105,10.5
20030315,-9999,89,8.9
20030316,-9999,74,7.4
20030317,-9999,76,7.6
20030318,-9999,73,7.3
20030319,-9999,82,8.2
20030320,-9999,70,7
20030321,-9999,68,6.8
20030322,-9999,80,8
20030323,-9999,94,9.4
20030324,-9999,103,10.3
20030325,-9999,93,9.3
20030326,-9999,89,8.9
20030327,-9999,97,9.7
20030328,-9999,75,7.5
20030329,-9999,100,10
20030330,-9999,85,8.5
20030331,-9999,81,8.1
20030401,-9999,103,10.3
20030402,-9999,47,4.7
20030403,-9999,20,2
20030404,-9999,19,1.9
20030405,-9999,47,4.7
20030406,-9999,63,6.3
20030407,-9999,42,4.2
20030408,-9999,74,7.4
20030409,-9999,34,3.4
20030410,-9999,43,4.3
20030411,-9999,50,5
20030412,-9999,56,5.6
20030413,-9999,117,11.7
20030414,-9999,91,9.1
20030415,-9999,87,8.7
20030416,-9999,119,11.9
20030417,-9999,121,12.1
20030418,-9999,141,14.1
20030419,-9999,91,9.1
20030420,-9999,64,6.4
20030421,-9999,107,10.7
20030422,-9999,131,13.1
20030423,-9999,117,11.7
20030424,-9999,113,11.3
20030425,-9999,126,12.6
20030426,-9999,110,11
20030427,-9999,130,13
20030428,-9999,154,15.4
20030429,-9999,123,12.3
20030430,-9999,98,9.8
20030501,-9999,113,11.3
20030502,-9999,91,9.1
20030503,-9999,132,13.2
20030504,-9999,155,15.5
20030505,-9999,65,6.5
20030506,-9999,38,3.8
20030507,-9999,68,6.8
20030508,-9999,76,7.6
20030509,-9999,82,8.2
20030510,-9999,89,8.9
20030511,-9999,102,10.2
20030512,-9999,111,11.1
20030513,-9999,69,6.9
20030514,-9999,68,6.8
20030515,-9999,104,10.4
20030516,-9999,103,10.3
20030517,-9999,121,12.1
20030518,-9999,158,15.8
20030519,-9999,108,10.8
20030520,-9999,85,8.5
20030521,-9999,120,12
20030522,-9999,183,18.3
20030523,-9999,180,18
20030524,-9999,77,7.7
20030525,-9999,58,5.8
20030526,-9999,69,6.9
20030527,-9999,94,9.4
20030528,-9999,172,17.2
20030529,-9999,204,20.4
20030530,-9999,207,20.7
20030531,-9999,172,17.2
20030601,-9999,162,16.2
20030602,-9999,144,14.4
20030603,-9999,169,16.9
20030604,-9999,139,13.9
20030605,-9999,111,11.1
20030606,-9999,158,15.8
20030607,-9999,186,18.6
20030608,-9999,120,12
20030609,-9999,180,18
20030610,-9999,183,18.3
20030611,-9999,176,17.6
20030612,-9999,166,16.6
20030613,-9999,235,23.5
20030614,-9999,214,21.4
20030615,-9999,203,20.3
20030616,-9999,160,16
20030617,-9999,123,12.3
20030618,-9999,123,12.3
20030619,-9999,147,14.7
20030620,-9999,237,23.7
20030621,-9999,270,27
20030622,-9999,236,23.6
20030623,-9999,148,14.8
20030624,-9999,165,16.5
20030625,-9999,151,15.1
20030626,-9999,134,13.4
20030627,-9999,125,12.5
20030628,-9999,171,17.1
20030629,-9999,182,18.2
20030630,-9999,152,15.2
20030701,-9999,133,13.3
20030702,-9999,126,12.6
20030703,-9999,116,11.6
20030704,-9999,129,12.9
20030705,-9999,119,11.9
20030706,-9999,118,11.8
20030707,-9999,127,12.7
20030708,-9999,166,16.6
20030709,-9999,157,15.7
20030710,-9999,180,18
20030711,-9999,180,18
20030712,-9999,223,22.3
20030713,-9999,206,20.6
20030714,-9999,153,15.3
20030715,-9999,165,16.5
20030716,-9999,119,11.9
20030717,-9999,159,15.9
20030718,-9999,202,20.2
20030719,-9999,175,17.5
20030720,-9999,159,15.9
20030721,-9999,136,13.6
20030722,-9999,141,14.1
20030723,-9999,138,13.8
20030724,-9999,154,15.4
20030725,-9999,177,17.7
20030726,-9999,208,20.8
20030727,-9999,133,13.3
20030728,-9999,144,14.4
20030729,-9999,175,17.5
20030730,-9999,176,17.6
20030731,-9999,170,17
20030801,-9999,208,20.8
20030802,-9999,231,23.1
20030803,-9999,270,27
20030804,-9999,288,28.8
20030805,-9999,254,25.4
20030806,-9999,233,23.3
20030807,-9999,262,26.2
20030808,-9999,277,27.7
20030809,-9999,264,26.4
20030810,-9999,237,23.7
20030811,-9999,235,23.5
20030812,-9999,276,27.6
20030813,-9999,261,26.1
20030814,-9999,188,18.8
20030815,-9999,172,17.2
20030816,-9999,153,15.3
20030817,-9999,158,15.8
20030818,-9999,186,18.6
20030819,-9999,187,18.7
20030820,-9999,164,16.4
20030821,-9999,171,17.1
20030822,-9999,178,17.8
20030823,-9999,192,19.2
20030824,-9999,213,21.3
20030825,-9999,187,18.7
20030826,-9999,145,14.5
20030827,-9999,186,18.6
20030828,-9999,163,16.3
20030829,-9999,157,15.7
20030830,-9999,139,13.9
20030831,-9999,125,12.5
20030901,-9999,110,11
20030902,-9999,120,12
20030903,-9999,125,12.5
20030904,-9999,144,14.4
20030905,-9999,151,15.1
20030906,-9999,124,12.4
20030907,-9999,134,13.4
20030908,-9999,131,13.1
20030909,-9999,111,11.1
20030910,-9999,131,13.1
20030911,-9999,141,14.1
20030912,-9999,146,14.6
20030913,-9999,159,15.9
20030914,-9999,152,15.2
20030915,-9999,177,17.7
20030916,-9999,183,18.3
20030917,-9999,208,20.8
20030918,-9999,212,21.2
20030919,-9999,194,19.4
20030920,-9999,181,18.1
20030921,-9999,192,19.2
20030922,-9999,157,15.7
20030923,-9999,107,10.7
20030924,-9999,127,12.7
20030925,-9999,173,17.3
20030926,-9999,149,14.9
20030927,-9999,152,15.2
20030928,-9999,128,12.8
20030929,-9999,135,13.5
20030930,-9999,132,13.2
20031001,-9999,136,13.6
20031002,-9999,130,13
20031003,-9999,103,10.3
20031004,-9999,103,10.3
20031005,-9999,71,7.1
20031006,-9999,74,7.4
20031007,-9999,98,9.8
20031008,-9999,108,10.8
20031009,-9999,106,10.6
20031010,-9999,107,10.7
