YYYYMMDD, C072, G072,Pday_mm
20021213,-9999,0,0
20021214,-9999,9,0.9
20021215,-9999,0,0
20021216,-9999,0,0
20021217,-9999,27,2.7
20021218,-9999,3,0.3
20021219,-9999,5,0.5
20021220,-9999,3,0.3
20021221,-9999,0,0
20021222,-9999,1,0.1
20021223,-9999,4,0.4
20021224,-9999,0,0
20021225,-9999,0,0
20021226,-9999,5,0.5
20021227,-9999,89,8.9
20021228,-9999,29,2.9
20021229,-9999,0,0
20021230,-9999,17,1.7
20021231,-9999,5,0.5
20030101,-9999,20,2
20030102,-9999,3,0.3
20030103,-9999,2,0.2
20030104,-9999,24,2.4
20030105,-9999,25,2.5
20030106,-9999,93,9.3
20030107,-9999,6,0.6
20030108,-9999,0,0
20030109,-9999,0,0
20030110,-9999,0,0
20030111,-9999,0,0
20030112,-9999,0,0
20030113,-9999,18,1.8
20030114,-9999,61,6.1
20030115,-9999,51,5.1
20030116,-9999,14,1.4
20030117,-9999,17,1.7
20030118,-9999,2,0.2
20030119,-9999,110,11
20030120,-9999,1,0.1
20030121,-9999,0,0
20030122,-9999,29,2.9
20030123,-9999,34,3.4
20030124,-9999,1,0.1
20030125,-9999,0,0
20030126,-9999,111,11.1
20030127,-9999,50,5
20030128,-9999,129,12.9
20030129,-9999,11,1.1
20030130,-9999,156,15.6
20030131,-9999,0,0
20030201,-9999,111,11.1
20030202,-9999,462,46.2
20030203,-9999,3,0.3
20030204,-9999,293,29.3
20030205,-9999,137,13.7
20030206,-9999,41,4.1
20030207,-9999,0,0
20030208,-9999,0,0
20030209,-9999,56,5.6
20030210,-9999,1,0.1
20030211,-9999,9,0.9
20030212,-9999,1,0.1
20030213,-9999,18,1.8
20030214,-9999,1,0.1
20030215,-9999,0,0
20030216,-9999,20,2
20030217,-9999,0,0
20030218,-9999,1,0.1
20030219,-9999,0,0
20030220,-9999,32,3.2
20030221,-9999,3,0.3
20030222,-9999,0,0
20030223,-9999,3,0.3
20030224,-9999,0,0
20030225,-9999,10,1
20030226,-9999,11,1.1
20030227,-9999,2,0.2
20030228,-9999,7,0.7
20030301,-9999,13,1.3
20030302,-9999,4,0.4
20030303,-9999,16,1.6
20030304,-9999,1,0.1
20030305,-9999,49,4.9
20030306,-9999,11,1.1
20030307,-9999,0,0
20030308,-9999,0,0
20030309,-9999,0,0
20030310,-9999,0,0
20030311,-9999,0,0
20030312,-9999,0,0
20030313,-9999,0,0
20030314,-9999,0,0
20030315,-9999,0,0
20030316,-9999,0,0
20030317,-9999,0,0
20030318,-9999,0,0
20030319,-9999,0,0
20030320,-9999,0,0
20030321,-9999,0,0
20030322,-9999,0,0
20030323,-9999,0,0
20030324,-9999,0,0
20030325,-9999,0,0
20030326,-9999,0,0
20030327,-9999,1,0.1
20030328,-9999,37,3.7
20030329,-9999,0,0
20030330,-9999,7,0.7
