"INDICATIVO","year","month","name_day","P_10mm","day"
"2017Y",2010,4,"P2",0,"02"
"2017Y",2010,4,"P3",16,"03"
"2017Y",2010,4,"P4",0,"04"
"2017Y",2010,4,"P5",0,"05"
"2017Y",2010,4,"P6",12,"06"
"2017Y",2010,4,"P7",24,"07"
"2017Y",2010,4,"P8",0,"08"
"2017Y",2010,4,"P9",0,"09"
"2017Y",2010,4,"P10",0,"010"
"2017Y",2010,4,"P11",0,"011"
"2017Y",2010,4,"P12",0,"012"
"2017Y",2010,4,"P13",6,"013"
"2017Y",2010,4,"P14",6,"014"
"2017Y",2010,4,"P15",56,"015"
"2017Y",2010,4,"P16",142,"016"
"2017Y",2010,4,"P17",72,"017"
"2017Y",2010,4,"P18",144,"018"
"2017Y",2010,4,"P19",10,"019"
"2017Y",2010,4,"P20",0,"020"
"2017Y",2010,4,"P21",4,"021"
"2017Y",2010,4,"P22",84,"022"
"2017Y",2010,4,"P23",0,"023"
"2017Y",2010,4,"P24",0,"024"
"2017Y",2010,4,"P25",16,"025"
"2017Y",2010,4,"P26",0,"026"
"2017Y",2010,4,"P27",0,"027"
"2017Y",2010,4,"P28",0,"028"
"2017Y",2010,4,"P29",6,"029"
"2017Y",2010,4,"P30",58,"030"
"2017Y",2010,4,"P31",NA,"031"
"2017Y",2010,5,"P1",10,"01"
"2017Y",2010,5,"P2",138,"02"
"2017Y",2010,5,"P3",44,"03"
"2017Y",2010,5,"P4",2,"04"
"2017Y",2010,5,"P5",2,"05"
"2017Y",2010,5,"P6",0,"06"
"2017Y",2010,5,"P7",28,"07"
"2017Y",2010,5,"P8",152,"08"
"2017Y",2010,5,"P9",16,"09"
"2017Y",2010,5,"P10",14,"010"
"2017Y",2010,5,"P11",2,"011"
"2017Y",2010,5,"P12",154,"012"
"2017Y",2010,5,"P13",0,"013"
"2017Y",2010,5,"P14",22,"014"
"2017Y",2010,5,"P15",6,"015"
"2017Y",2010,5,"P16",0,"016"
"2017Y",2010,5,"P17",0,"017"
"2017Y",2010,5,"P18",0,"018"
"2017Y",2010,5,"P19",0,"019"
"2017Y",2010,5,"P20",0,"020"
"2017Y",2010,5,"P21",0,"021"
"2017Y",2010,5,"P22",0,"022"
"2017Y",2010,5,"P23",0,"023"
"2017Y",2010,5,"P24",0,"024"
"2017Y",2010,5,"P25",0,"025"
"2017Y",2010,5,"P26",0,"026"
"2017Y",2010,5,"P27",160,"027"
"2017Y",2010,5,"P28",26,"028"
"2017Y",2010,5,"P29",0,"029"
"2017Y",2010,5,"P30",0,"030"
"2017Y",2010,5,"P31",0,"031"
"2017Y",2010,6,"P1",0,"01"
"2017Y",2010,6,"P2",0,"02"
"2017Y",2010,6,"P3",0,"03"
"2017Y",2010,6,"P4",0,"04"
"2017Y",2010,6,"P5",12,"05"
"2017Y",2010,6,"P6",4,"06"
"2017Y",2010,6,"P7",0,"07"
"2017Y",2010,6,"P8",36,"08"
"2017Y",2010,6,"P9",100,"09"
"2017Y",2010,6,"P10",76,"010"
"2017Y",2010,6,"P11",44,"011"
"2017Y",2010,6,"P12",14,"012"
"2017Y",2010,6,"P13",0,"013"
"2017Y",2010,6,"P14",4,"014"
"2017Y",2010,6,"P15",16,"015"
"2017Y",2010,6,"P16",102,"016"
"2017Y",2010,6,"P17",0,"017"
"2017Y",2010,6,"P18",0,"018"
"2017Y",2010,6,"P19",12,"019"
"2017Y",2010,6,"P20",0,"020"
"2017Y",2010,6,"P21",0,"021"
"2017Y",2010,6,"P22",0,"022"
"2017Y",2010,6,"P23",0,"023"
"2017Y",2010,6,"P24",0,"024"
"2017Y",2010,6,"P25",8,"025"
"2017Y",2010,6,"P26",0,"026"
"2017Y",2010,6,"P27",12,"027"
"2017Y",2010,6,"P28",2,"028"
"2017Y",2010,6,"P29",0,"029"
"2017Y",2010,6,"P30",0,"030"
"2017Y",2010,6,"P31",NA,"031"
"2017Y",2010,7,"P1",2,"01"
"2017Y",2010,7,"P2",108,"02"
"2017Y",2010,7,"P3",0,"03"
"2017Y",2010,7,"P4",0,"04"
