INDICATIVO,year,month,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31
9185,1976,2,66,0,0,33,103,44,0,0,0,107,0,0,0,68,33,21,0,53,22,0,0,0,0,0,0,0,0,0,0,NA,NA
9185,1976,3,0,0,0,0,0,0,22,225,0,0,0,0,24,22,0,33,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
9185,1976,4,0,-3,0,66,202,0,0,0,0,0,0,0,0,0,86,98,183,124,0,0,22,43,88,53,0,0,0,0,0,0,NA
9185,1976,5,0,0,0,0,0,32,26,44,0,0,0,0,0,0,0,0,0,90,86,0,0,0,0,576,0,0,0,208,65,0,0
9185,1976,6,0,0,0,0,0,0,0,0,6,11,0,0,383,0,0,32,44,62,22,42,96,68,0,0,22,0,23,0,44,0,NA
9185,1976,7,0,33,152,0,34,42,132,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,1976,8,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,48,300,0,394,188,158,42,0,144,0,0,0
9185,1976,9,0,0,0,0,0,0,0,42,66,0,0,72,0,0,43,0,0,0,0,0,78,0,0,0,116,134,0,0,0,0,NA
9185,1976,10,0,33,23,0,0,0,0,0,0,84,168,0,0,0,0,0,0,0,44,0,0,0,0,188,0,0,0,21,0,11,0
9185,1976,11,0,46,186,84,0,0,62,254,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,NA
9185,1976,12,0,0,11,34,0,22,82,0,0,0,0,0,0,0,0,0,0,88,254,32,0,0,0,0,0,0,0,44,0,0,399
9185,1977,1,0,23,0,0,0,0,123,0,0,0,0,0,0,20,90,20,0,0,30,135,0,0,0,40,35,0,50,22,0,0,13
9185,1977,2,0,23,0,0,0,0,0,22,12,55,0,0,22,0,0,0,0,33,23,91,0,33,122,0,0,0,0,0,NA,NA,NA
9185,1977,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,133,32,0,22,22,44,0,0,0,103,54,22,0
9185,1977,4,0,0,83,22,0,0,64,0,0,22,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,22,13,NA
9185,1977,5,76,22,0,0,11,0,0,0,0,0,0,48,0,56,44,0,38,226,274,42,13,163,22,0,78,0,0,0,67,86,98
9185,1977,6,43,124,0,0,0,0,0,0,12,0,254,424,63,0,0,0,58,22,43,34,0,0,0,0,0,0,343,43,0,0,NA
9185,1977,7,22,64,0,0,62,13,144,24,134,0,0,0,0,93,254,0,0,0,0,0,0,0,0,44,0,0,0,303,84,33,0
9185,1977,8,0,0,0,0,0,0,0,0,0,31,224,0,0,0,0,0,0,76,0,12,44,0,0,0,0,12,0,74,123,0,0
9185,1977,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,13,0,0,0,0,0,NA
9185,1977,10,0,0,0,0,44,63,52,0,0,0,0,0,0,0,0,0,0,74,0,44,0,53,0,0,0,0,0,0,0,0,22
9185,1977,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,23,11,13,12,0,0,0,21,163,NA
9185,1977,12,0,0,0,223,164,0,488,0,0,0,0,0,0,0,0,183,0,0,0,103,34,103,0,0,0,0,64,22,33,0,0
9185,1978,1,0,0,0,0,0,0,0,0,0,0,330,300,0,0,11,21,0,0,283,0,0,0,0,154,82,0,44,44,200,0,33
9185,1978,2,0,0,0,0,0,0,0,0,103,22,0,54,83,0,143,183,42,0,22,0,0,0,0,102,72,32,44,77,NA,NA,NA
9185,1978,3,33,132,88,174,0,0,0,0,0,0,0,32,12,0,0,46,34,83,0,0,0,0,0,0,0,0,0,0,62,43,0
9185,1978,4,143,43,0,0,134,58,13,0,0,0,0,33,74,88,23,0,0,0,0,0,0,0,243,22,0,0,0,254,33,43,NA
9185,1978,5,0,0,103,144,66,0,0,228,63,14,0,0,0,0,0,22,0,0,0,0,0,22,11,33,0,0,0,0,388,0,4
9185,1978,6,0,0,0,0,70,328,0,0,0,0,0,0,0,0,43,88,0,0,0,0,0,0,22,0,43,52,0,0,11,22,NA
9185,1978,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,33,0
9185,1978,8,0,0,0,0,0,0,77,23,0,0,0,0,0,56,0,0,0,0,0,43,22,0,0,0,0,0,0,0,12,0,0
9185,1978,9,0,0,0,63,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,NA
9185,1978,10,302,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,34,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,1978,11,0,0,0,0,0,0,0,22,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,62,204,128,43,0,0,NA
9185,1978,12,87,22,0,0,44,23,34,103,0,84,92,43,183,82,0,0,0,11,43,0,0,0,186,32,0,8,150,13,23,28,42
9185,1979,1,38,43,158,32,13,0,49,82,22,43,523,58,0,0,0,0,4,232,186,0,224,0,0,0,0,154,123,32,0,0,0
9185,1979,2,104,76,25,0,24,83,13,4,203,248,23,106,124,102,308,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,NA,NA
9185,1979,3,32,0,0,0,0,23,43,34,0,0,0,0,0,42,46,26,346,42,0,0,0,0,0,46,54,32,64,85,48,49,62
9185,1979,4,14,0,0,0,0,0,0,83,183,23,0,0,224,146,0,0,0,0,0,0,4,21,0,0,32,0,84,32,0,0,NA
9185,1979,5,0,0,0,0,0,0,0,14,154,0,0,0,0,0,0,0,24,0,13,0,0,0,43,23,12,34,0,0,48,284,46
9185,1979,6,0,0,105,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,84,0,22,0,NA
9185,1979,7,0,0,0,0,274,0,0,0,0,84,346,0,0,0,0,0,0,104,0,22,0,78,0,0,0,0,0,0,0,0,0
9185,1979,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,23,14,64,0,0,0,0,0,0,0,0,0,0,0,0,83
9185,1979,9,0,523,0,0,83,74,103,92,273,0,0,0,0,0,0,74,246,0,0,0,146,265,43,0,0,0,0,0,0,12,NA
9185,1979,10,0,0,0,0,0,0,0,43,193,0,0,184,12,32,0,0,0,0,0,0,0,0,0,63,43,284,72,52,95,32,0
9185,1979,11,0,0,0,0,0,0,0,0,23,44,34,43,0,83,0,95,23,0,0,148,0,0,0,0,0,0,0,0,0,0,NA
9185,1979,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,20,30,0,60,0,0,0,0,0,77,273,23
9185,1980,1,0,0,0,0,0,0,0,87,33,54,0,-3,-3,0,-3,0,0,0,0,0,0,0,0,23,0,0,0,0,0,12,32
9185,1980,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,63,286,183,0,0,23,94,34,0,0,0,NA,NA
9185,1980,3,0,86,74,65,0,0,0,0,0,0,24,0,43,423,0,0,0,246,78,0,258,0,0,0,0,0,0,0,11,0,0
9185,1980,4,0,0,0,0,0,0,0,0,0,0,0,0,0,223,104,43,24,32,22,0,0,0,0,0,0,0,0,0,193,42,NA
9185,1980,5,0,34,244,0,36,0,0,0,0,0,0,274,346,184,0,0,0,0,0,0,0,43,0,183,83,258,0,43,84,0,0
9185,1980,6,0,0,0,0,0,0,0,0,108,0,164,288,74,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
9185,1980,7,0,0,0,0,0,0,0,144,0,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0
9185,1980,8,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,294,0,0,0,0,0,0,0,11,0,0,0,0,0
9185,1980,9,0,0,0,223,0,0,45,64,0,0,0,0,0,0,0,0,0,67,88,106,0,0,0,0,0,0,64,0,0,0,NA
9185,1980,10,0,0,0,0,0,0,22,47,36,0,0,174,0,34,52,22,69,53,0,0,0,0,0,34,0,0,0,0,0,0,0
9185,1980,11,0,34,108,0,0,14,22,144,43,0,0,0,43,104,0,0,0,0,0,0,0,0,0,0,42,36,21,13,164,0,NA
9185,1980,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,43,43,101,434,0,0,0,0,0,0,0,42,0,0,0,0
9185,1981,1,0,0,0,0,0,0,0,0,0,103,63,424,43,23,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
9185,1981,2,0,0,63,23,0,0,0,0,34,22,0,56,0,0,0,0,0,0,-3,43,0,0,0,0,0,64,102,21,NA,NA,NA
9185,1981,3,0,0,44,0,63,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,32,126,0,163
9185,1981,4,0,123,0,0,0,63,0,14,22,103,0,246,284,22,0,0,0,0,0,0,33,183,0,0,0,0,183,0,0,0,NA
9185,1981,5,0,22,0,0,0,0,83,314,66,0,0,0,0,44,0,0,0,0,0,0,0,0,0,21,184,0,0,0,0,0,68
9185,1981,6,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,75,-3,0,0,NA
9185,1981,7,0,183,0,0,0,0,34,68,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,1981,8,0,0,32,0,0,224,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0
9185,1981,9,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,148,65,42,0,0,0,NA
9185,1981,10,63,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,6,0,0,5,0,100,70,0,0,0,0,0
9185,1981,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,62,NA
9185,1981,12,16,0,0,0,24,0,0,0,0,13,42,3,48,4,-3,-3,72,132,30,12,72,43,74,0,0,31,84,164,322,253,32
9185,1982,1,0,0,0,0,0,0,0,0,0,50,0,0,0,56,0,33,165,21,0,22,0,21,72,11,91,0,72,82,0,0,0
9185,1982,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,100,0,0,0,120,31,12,63,63,0,20,0,NA,NA,NA
9185,1982,3,12,0,43,45,0,12,0,0,0,0,0,0,0,0,0,0,23,2,63,12,21,-3,-3,0,0,0,0,-3,21,32,144
9185,1982,4,0,0,0,52,53,0,0,0,0,0,0,142,0,0,0,71,11,81,0,0,0,0,0,0,0,0,0,0,0,0,NA
9185,1982,5,0,0,22,0,0,0,0,0,0,0,0,0,0,31,52,0,36,52,110,0,0,0,0,0,110,13,160,125,14,23,12
9185,1982,6,10,430,20,0,22,0,0,171,183,75,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
9185,1982,7,12,32,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,363,64,0
9185,1982,8,13,22,0,0,0,5,0,0,0,0,0,0,0,0,0,-3,0,0,0,7,0,13,0,0,5,0,194,0,0,52,0
9185,1982,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,81,102,5,62,31,0,0,0,2,222,0,0,0,100,0,NA
9185,1982,10,0,0,0,41,62,0,0,0,13,32,0,42,30,0,0,0,0,132,33,1,0,211,31,0,0,0,0,0,0,0,0
9185,1982,11,0,0,0,20,0,402,251,30,0,0,0,125,52,41,72,45,0,0,0,0,0,0,8,12,42,-3,42,82,0,0,NA
9185,1982,12,0,0,0,0,0,-3,42,28,18,36,0,78,166,0,0,250,170,36,0,0,0,175,165,25,0,0,0,0,0,0,0
9185,1983,1,0,0,0,0,0,-3,6,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,1983,2,2,0,0,20,0,6,4,6,164,26,21,4,0,0,0,0,0,0,0,0,2,32,6,2,62,-3,0,0,NA,NA,NA
9185,1983,3,0,0,0,0,0,0,0,0,25,0,0,0,0,0,52,25,0,0,0,0,0,0,0,105,35,26,42,22,33,-3,82
9185,1983,4,42,15,3,0,0,0,0,0,0,0,-3,0,0,0,0,0,193,42,38,275,0,136,35,74,11,13,0,0,27,62,NA
9185,1983,5,32,-3,0,0,0,62,4,-3,3,0,22,64,0,16,27,15,0,0,0,35,52,0,-3,0,0,0,0,6,0,3,0
9185,1983,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,31,59,60,8,-3,0,0,0,NA
9185,1983,7,0,67,442,84,4,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,85,13,0,0,0,0
9185,1983,8,0,0,0,60,2,0,52,108,0,61,0,0,0,0,0,21,0,21,0,0,61,60,3,162,174,41,31,23,0,241,283
9185,1983,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,12,NA
9185,1983,10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,25,0,0,0,0,0,0,0,0,0,0,14,6,0,0
9185,1983,11,0,0,0,0,0,0,32,13,62,33,0,0,34,113,17,44,2,0,0,65,0,0,0,0,0,0,44,0,0,0,NA
9185,1983,12,0,0,0,0,0,0,0,0,14,15,12,42,0,150,75,0,45,202,142,103,0,0,0,0,0,0,0,0,0,0,0
9185,1984,1,0,0,32,123,52,32,23,23,72,0,0,42,0,0,0,0,0,2,0,0,41,0,0,0,63,0,5,4,6,34,34
9185,1984,2,22,132,0,0,0,11,2,50,25,0,0,0,0,0,0,0,0,0,12,12,22,42,100,32,0,0,283,147,52,NA,NA
9185,1984,3,23,0,15,0,0,0,0,0,0,0,0,0,0,31,0,0,0,31,34,72,21,0,36,24,2,0,56,164,21,31,75
9185,1984,4,-3,22,101,96,31,0,0,0,0,51,-3,0,82,42,6,0,0,0,0,0,0,0,0,-3,25,0,0,25,70,0,NA
9185,1984,5,52,43,42,0,31,23,23,0,0,0,32,21,62,162,142,41,253,32,21,8,84,71,11,72,21,50,4,0,2,0,0
9185,1984,6,10,11,152,61,92,41,3,0,-3,112,0,0,0,0,0,0,145,7,3,0,0,0,0,0,0,212,101,13,0,0,NA
9185,1984,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,-3,0,0,0,0,0,0,0,-3,16
9185,1984,8,0,0,-3,0,0,0,0,0,5,0,15,0,5,0,0,0,0,0,0,0,5,85,0,0,0,0,15,0,0,0,0
9185,1984,9,0,0,0,5,2,0,0,0,0,5,0,0,0,0,0,0,0,41,32,0,0,25,0,0,0,0,0,25,0,5,NA
9185,1984,10,12,119,202,40,45,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,52,0,0,0,0,0
9185,1984,11,80,41,0,164,0,164,402,260,2,87,-3,373,301,4,334,0,0,62,26,2,0,0,0,0,0,2,0,0,0,406,NA
9185,1984,12,5,0,0,0,0,0,2,22,0,0,0,11,0,1,7,0,0,21,0,261,0,0,0,22,0,21,64,0,0,0,82
9185,1985,1,42,31,0,12,28,0,20,0,0,12,0,10,30,101,82,40,102,0,24,32,22,22,0,0,103,32,0,0,0,0,0
9185,1985,2,0,0,0,0,0,0,3,18,142,182,80,42,20,10,42,14,2,0,0,0,0,0,0,0,-3,0,0,0,NA,NA,NA
9185,1985,3,52,0,0,0,0,0,0,0,-3,20,-3,0,42,0,6,8,23,128,64,15,211,-3,0,21,22,-3,45,0,0,0,0
9185,1985,4,0,0,0,43,101,3,202,91,42,28,0,0,0,0,0,0,0,0,0,0,171,64,0,0,0,0,0,0,0,0,NA
9185,1985,5,0,31,12,12,42,26,16,14,21,0,21,42,32,102,22,86,0,0,72,21,0,42,141,32,0,0,11,32,12,3,24
9185,1985,6,105,26,0,6,0,0,0,21,0,0,0,0,0,0,2,21,0,61,-3,0,0,0,0,0,0,31,0,0,-3,0,NA
9185,1985,7,0,203,4,0,0,21,10,6,0,0,0,0,46,-3,0,0,7,0,0,0,0,0,0,21,0,0,0,0,0,0,0
9185,1985,8,0,0,0,0,0,4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0
9185,1985,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
9185,1985,10,3,0,0,32,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,53,-3,0,0,0,5
9185,1985,11,3,2,11,3,53,5,0,0,0,105,152,50,0,0,0,0,0,0,0,100,0,0,0,0,51,21,0,0,0,0,NA
9185,1985,12,0,0,0,0,42,5,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,3,64,0,143,24,46,0,0
9185,1986,1,72,33,0,4,12,0,21,0,21,0,0,21,0,0,75,25,21,0,0,0,32,21,0,12,0,0,0,22,66,51,54
9185,1986,2,105,36,0,22,21,21,122,43,0,4,0,0,21,32,4,161,52,11,24,24,81,0,0,12,17,4,0,11,NA,NA,NA
9185,1986,3,11,0,0,0,0,16,0,0,-3,10,0,31,101,0,0,0,0,13,2,22,0,0,0,0,43,0,0,0,0,0,0
9185,1986,4,0,6,-3,0,162,84,36,20,3,4,30,15,0,0,37,34,14,0,0,0,116,5,44,13,90,12,41,0,0,0,NA
9185,1986,5,0,2,0,40,30,0,0,0,-3,-3,31,0,35,0,0,0,0,0,0,0,0,63,0,0,240,23,0,0,2,0,0
9185,1986,6,0,0,0,0,9,0,0,0,0,0,0,0,0,77,2,0,8,47,0,0,0,0,0,0,0,0,0,0,112,0,NA
9185,1986,7,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
9185,1986,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,-3,-3,0,0,0,2,-3,0,0,105
9185,1986,9,0,0,0,0,5,620,3,300,2,0,160,0,0,0,0,6,124,202,0,0,0,70,45,26,2,6,0,0,0,0,NA
9185,1986,10,2,34,0,115,0,33,1,0,0,0,0,2,113,0,53,13,26,0,0,0,0,61,2,74,0,0,0,0,-3,0,0
9185,1986,11,-3,-3,0,0,0,0,0,0,0,0,0,-3,145,115,-3,0,0,0,2,0,33,2,-3,0,0,15,0,0,0,0,NA
9185,1986,12,0,0,0,0,0,0,0,134,0,0,5,0,40,0,4,0,0,0,-3,0,42,102,22,45,0,80,10,0,0,0,0
9185,1987,1,0,5,4,0,0,0,-3,0,202,42,0,80,225,51,33,20,0,0,0,0,0,0,13,0,0,41,38,62,33,64,0
9185,1987,2,3,80,103,4,0,0,25,0,4,65,35,0,0,0,17,21,32,60,61,3,43,4,0,80,20,3,2,0,NA,NA,NA
9185,1987,3,0,0,0,0,0,1,2,6,0,0,0,60,0,0,0,0,0,-3,20,4,31,0,0,-3,62,0,11,101,112,0,0
9185,1987,4,4,183,17,34,2,32,95,51,20,5,15,6,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,70,5,0,NA
9185,1987,5,0,-3,4,18,0,0,0,0,0,18,0,4,0,0,0,30,16,0,6,0,0,27,314,0,31,0,26,0,0,0,0
9185,1987,6,0,20,0,0,0,0,10,22,0,0,0,0,46,198,0,0,0,0,20,0,0,0,0,0,0,0,0,30,35,70,NA
9185,1987,7,71,0,26,0,260,7,227,7,0,0,0,913,63,81,20,-3,19,0,0,0,0,0,103,22,2,0,0,25,0,0,0
9185,1987,8,0,0,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,-3
9185,1987,9,10,70,160,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,0,47,0,17,45,24,-3,0,0,NA
9185,1987,10,62,31,0,55,152,-3,0,0,146,136,0,0,0,100,110,2,0,2,45,21,0,124,0,11,0,21,187,3,0,0,0
9185,1987,11,0,0,2,0,0,0,180,45,105,25,0,0,18,26,0,0,0,0,0,0,0,30,61,52,41,31,21,0,0,0,NA
9185,1987,12,0,102,181,103,21,0,0,0,35,24,35,0,125,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
9185,1988,1,0,3,-3,0,0,20,0,0,0,0,20,3,30,60,100,220,80,-3,20,3,2,0,0,60,30,40,284,-3,264,0,0
9185,1988,2,23,0,0,30,0,183,60,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,84,64,45,104,55,0,NA,NA
9185,1988,3,0,0,0,100,60,32,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,32,52,7
9185,1988,4,0,192,332,293,214,6,15,25,15,22,263,4,32,0,140,4,21,65,102,0,0,61,17,5,240,21,0,33,92,-3,NA
9185,1988,5,20,19,9,37,85,25,0,81,11,2,-3,150,3,26,46,52,42,44,7,2,-3,94,37,140,172,70,3,15,0,0,0
9185,1988,6,0,0,340,3,0,0,0,400,182,32,3,72,15,10,60,100,12,0,0,163,80,0,122,42,-3,0,0,232,2,45,NA
9185,1988,7,0,0,0,178,2,0,0,0,0,0,0,0,-3,0,0,0,0,100,-3,0,0,0,0,0,0,0,0,0,0,0,0
9185,1988,8,0,10,13,0,0,10,70,0,0,0,-3,0,0,0,12,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,1988,9,13,0,0,0,0,0,0,0,-3,0,0,0,0,15,45,41,5,0,0,0,0,0,0,0,0,0,0,-3,2,0,NA
9185,1988,10,0,0,0,0,0,0,0,0,0,0,0,0,0,180,198,162,52,82,-3,0,0,0,0,0,0,0,0,0,0,0,0
9185,1988,11,0,0,-3,-3,0,0,100,23,0,0,142,42,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,21,NA
9185,1988,12,31,46,-3,15,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
9185,1989,1,0,0,0,-3,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,1989,2,0,0,10,0,0,0,0,13,20,42,0,0,0,0,0,0,0,0,0,0,0,0,41,82,203,4,41,51,NA,NA,NA
9185,1989,3,11,0,5,0,0,0,5,0,0,0,0,0,10,0,0,5,6,-3,0,6,5,0,0,0,0,0,4,-3,0,81,190
9185,1989,4,0,30,80,0,8,0,180,30,20,-3,50,65,20,10,0,7,5,0,0,3,36,60,100,54,122,21,103,4,33,3,NA
9185,1989,5,0,0,0,0,0,0,0,5,18,0,0,37,-3,0,0,0,0,0,40,50,200,-3,31,140,20,4,0,176,0,160,42
9185,1989,6,12,90,2,32,2,0,0,4,50,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
9185,1989,7,-3,0,0,143,170,0,0,0,80,0,0,0,0,0,0,0,0,0,0,18,130,0,14,0,0,0,0,0,59,30,0
9185,1989,8,0,2,4,0,-3,0,-3,5,40,60,0,0,-3,0,0,0,0,42,15,0,0,0,0,0,0,0,0,0,0,34,6
9185,1989,9,0,0,0,0,0,5,55,12,21,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,-3,0,0,0,0,0,NA
9185,1989,10,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,184,0,0,0,0
9185,1989,11,0,18,-3,2,192,32,2,9,-3,2,-3,-3,0,62,71,32,32,60,152,31,35,70,66,3,25,62,42,35,24,20,NA
9185,1989,12,5,0,0,0,4,5,2,3,62,0,0,25,65,12,0,380,80,121,3,0,152,6,0,0,71,86,21,11,12,2,-3
9185,1990,1,32,0,133,0,0,0,21,0,0,0,0,0,0,-3,24,0,71,11,0,0,0,0,0,0,12,21,92,0,22,-3,22
9185,1990,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA
9185,1990,3,5,6,0,0,0,0,0,0,0,0,53,12,0,0,0,0,0,0,0,0,0,0,52,-3,0,22,0,0,12,0,11
9185,1990,4,43,5,5,20,80,61,-3,16,61,16,13,0,32,5,30,3,11,10,73,63,40,70,31,22,2,0,0,0,0,0,NA
9185,1990,5,0,0,0,0,0,0,8,118,105,0,-3,83,7,0,0,180,-3,3,3,0,252,183,180,2,112,62,0,0,0,0,0
9185,1990,6,22,0,140,143,3,0,0,0,0,-3,160,0,280,150,0,93,23,0,140,0,0,0,0,0,0,22,103,0,0,0,NA
9185,1990,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-3,13,0,0,0,0,0,170,0,0,0
9185,1990,8,0,0,0,0,0,0,0,0,0,0,0,23,5,0,0,0,5,0,170,26,0,0,11,0,0,0,0,0,0,144,0
9185,1990,9,0,0,0,0,0,0,0,0,1,0,0,0,40,0,-3,130,0,0,132,0,0,0,0,24,0,40,0,0,82,6,NA
9185,1990,10,3,-3,3,4,0,0,123,0,0,0,0,0,0,0,10,13,-3,28,0,0,68,74,45,2,2,-3,40,118,-3,28,17
9185,1990,11,0,14,0,0,0,6,262,163,52,32,0,0,0,0,0,0,0,0,0,32,23,0,32,31,43,63,12,24,-3,0,NA
9185,1990,12,0,0,0,0,0,0,0,102,92,112,21,35,16,0,0,0,-3,0,0,0,0,0,0,36,12,12,12,0,0,6,20
9185,1991,1,0,0,8,0,0,0,11,23,7,6,52,62,31,21,0,0,17,0,0,0,0,21,0,0,0,0,0,0,0,0,0
9185,1991,2,102,46,0,0,0,0,0,14,46,-3,3,0,52,31,0,22,91,136,0,0,16,0,0,0,0,0,4,43,NA,NA,NA
9185,1991,3,22,0,11,12,150,13,122,104,22,0,0,188,15,0,4,0,45,0,0,0,0,23,72,142,-3,0,0,0,0,0,0
9185,1991,4,0,0,5,72,73,0,0,0,0,0,0,703,194,122,323,83,2,0,20,0,0,0,0,53,154,3,3,0,0,0,NA
9185,1991,5,65,58,11,65,52,0,3,25,12,12,-3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,183,94
9185,1991,6,165,0,-3,-3,24,0,-3,0,0,-3,0,0,0,0,37,2,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,NA
9185,1991,7,112,65,70,3,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,10,-3,0,45,0,0,0,0,0,-3,0,0,0
9185,1991,8,0,0,0,0,0,0,0,-3,2,0,0,0,0,0,0,0,0,-3,0,-3,15,0,0,0,0,0,0,0,0,0,0
9185,1991,9,0,0,186,52,21,0,0,0,0,114,92,5,0,0,0,0,0,0,0,26,-3,0,0,3,71,0,-3,132,31,63,NA
9185,1991,10,0,-3,-3,0,23,0,0,0,363,342,42,5,4,3,6,0,-3,0,90,5,5,0,0,0,15,64,63,5,-3,0,0
9185,1991,11,0,0,24,21,13,0,0,0,-3,0,0,11,20,0,128,32,10,5,35,223,44,0,0,0,0,0,0,0,43,0,NA
9185,1991,12,11,62,4,0,0,0,0,0,0,0,0,5,23,32,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,1992,1,0,0,0,0,0,0,0,15,40,0,0,0,0,0,0,0,0,0,0,0,43,32,0,0,0,0,0,0,0,0,0
9185,1992,2,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,200,3,0,0,0,0,0,0,0,0,0,0,NA,NA
9185,1992,3,0,0,0,12,0,0,0,5,0,13,0,0,0,3,0,0,0,0,0,0,0,0,104,74,84,225,73,0,31,228,42
