INDICATIVO,year,month,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31
9158A,2000,2,-3,-3,0,0,0,0,0,24,0,0,-3,0,21,-3,0,22,55,0,0,0,0,2,25,0,0,0,0,0,0,NA,NA
9158A,2000,3,11,-3,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,-3,23,55,0,15,0,101,25,1,60,-3
9158A,2000,4,0,32,0,25,32,0,0,39,36,83,15,0,10,0,16,16,-3,38,-4,-4,-4,-4,150,0,0,-3,10,0,0,0,NA
9158A,2000,5,0,5,10,24,30,30,37,0,64,25,15,8,0,0,-3,40,0,0,0,10,0,0,10,-3,-3,0,0,0,0,0,0
9158A,2000,6,45,0,0,135,120,0,0,0,60,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,NA
9158A,2000,7,0,0,35,0,0,0,0,0,-3,18,-3,0,0,0,16,0,35,17,0,0,0,0,0,45,23,0,0,0,0,0,0
9158A,2000,8,0,0,0,-3,0,0,0,0,0,0,180,0,0,0,0,0,-3,0,0,48,0,0,0,0,0,5,0,0,80,0,0
9158A,2000,9,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,20,0,0,0,0,0,0,73,-3,-3,30,0,NA
9158A,2000,10,35,0,0,0,-3,0,0,0,25,-3,136,7,44,28,46,0,0,0,0,60,51,20,11,0,0,0,0,0,0,56,0
9158A,2000,11,25,-3,0,50,75,0,0,0,0,0,0,40,0,0,0,34,20,23,10,62,-3,120,44,20,43,20,0,0,0,-3,NA
9158A,2000,12,10,0,16,-3,0,0,10,20,40,16,0,0,-3,38,0,0,0,0,0,0,0,60,0,0,40,0,65,24,-3,30,85
9158A,2001,1,85,8,45,0,135,0,0,0,13,0,-3,0,3,10,4,36,4,10,-3,-3,0,-3,33,20,-3,140,200,200,80,45,82
9158A,2001,2,-3,0,0,0,0,0,22,22,0,-3,0,0,4,17,0,0,0,10,0,0,0,0,0,5,5,0,-3,0,NA,NA,NA
9158A,2001,3,0,100,100,47,0,-3,0,-3,26,0,0,80,0,0,0,0,0,0,0,0,0,0,0,10,17,56,0,0,160,4,0
9158A,2001,4,0,0,0,0,0,34,30,30,0,0,11,0,0,0,0,0,0,0,-3,50,58,-3,0,0,0,0,0,0,80,100,NA
9158A,2001,5,0,61,12,100,0,0,0,15,19,0,0,0,0,0,0,29,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9158A,2001,6,0,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,NA
9158A,2001,7,0,0,3,0,80,70,0,81,-3,0,0,0,0,13,0,0,0,16,0,0,0,0,0,0,0,0,90,105,0,0,0
