"MpNo","DateTime","Epoch","H2O_c","d18O_c","dD_c","H2O_a","d18O_a","dD_a","Dex_c","Dex_a","Dex_WV","E"
2,2018-09-06 23:00:00,1536267600.356,11022.6936996337,-17.0966996336996,-129.206967032967,11819.6902073757,-17.1651568497798,-122.405375633324,7.56663003663002,14.9158791649141,116.558133900619,-0.251927159116325
2,2018-09-08 22:23:00,1536438180.749,13757.7193076923,-19.6333919413919,-137.557622710623,16108.8729630597,-18.8958231071419,-123.514918878611,19.5095128205128,27.6516659785244,75.2952801899746,-0.743187498642951
2,2018-09-05 10:50:00,1536137400.676,18040.0059450549,-15.0258791208791,-81.7060293040293,12824.8824992593,-16.7392850416488,-111.6367309406,38.5010036630037,22.2775493925907,78.3972586438693,1.64682782876342
2,2018-09-06 09:46:00,1536219960.538,15006.1270842491,-15.1487399267399,-101.982805860806,12761.3032045382,-16.8228071902996,-115.986160214054,19.2071135531136,18.5962973083429,22.6794622626167,0.709576321168613
2,2018-09-04 06:41:00,1536036060.433,12556.7508864469,-18.1219084249084,-147.006201465201,16171.0872794835,-17.1504455801132,-130.931596156573,-2.03093406593405,6.27196848433223,35.1175068130285,-1.14475250911783
2,2018-09-04 05:27:00,1536031620.838,12867.6748333333,-18.6091518518519,-145.547614814815,16050.8622854608,-17.3027976899539,-132.450659735718,3.32560000000001,5.97172178391321,16.6683694670517,-1.00819633081929
2,2018-09-05 04:50:00,1536115800.892,10910.6044652015,-17.5678571428571,-140.680505494505,13534.1653807813,-17.3728624417122,-135.611593312807,-0.137648351648352,3.37130622089046,17.9639978561331,-0.828472034200766
2,2018-09-03 17:27:00,1535988420.171,21243.2092857143,-13.5824029304029,-108.335633699634,15856.6349096984,-16.459248038071,-118.603528173448,0.323589743589736,13.0704561311205,-37.1997771386619,1.70605065439964
2,2018-09-05 01:50:00,1536105000.642,12943.1197106227,-16.7406117216117,-132.206315018315,14746.4081394748,-17.104867446354,-133.13080287337,1.71857875457874,3.70813669746238,17.9882076023459,-0.569443990216425
2,2018-09-04 03:04:00,1536023040.353,14272.4089340659,-18.6498461538462,-142.672912087912,15881.788293799,-17.4455400276991,-133.55155866401,6.52585714285715,6.01276155758333,1.46249193283413,-0.509730611367391
2,2018-09-05 00:41:00,1536100860.616,14285.3281245421,-16.7515091575092,-130.920413919414,15330.6960967687,-16.9280246279896,-130.537265234349,3.09165934065933,4.88693178956765,29.4199734428145,-0.330106765410765
2,2018-09-05 07:50:00,1536126600.327,13033.2811282051,-16.5879084249084,-131.437695970696,13066.7789963304,-17.1267308089442,-125.194529804291,1.26557142857141,11.8193166672628,4118.04864854946,-0.0105779850100009
2,2018-09-07 07:23:00,1536297780.724,9985.11619047619,-17.1985238095238,-139.998293040293,12407.5167786781,-17.4413286072529,-128.182411819003,-2.41010256410257,11.3482170390199,68.0599023366422,-0.766473834554842
2,2018-09-05 09:04:00,1536131040.797,16503.0500518519,-15.659237037037,-122.486714814815,12959.1208047727,-16.9550539411158,-119.045080213495,2.78718148148148,16.5953513154316,-47.7052884566415,1.11910107941374
2,2018-09-06 01:23:00,1536189780.208,10357.979989011,-16.7809377289377,-132.962985347985,12183.184541288,-16.522184344522,-117.242800212347,1.28451648351648,14.9346745438289,92.3989038868715,-0.576939671436184
2,2018-09-03 18:41:00,1535992860.821,17151.0886111111,-16.0129296296296,-116.802885185185,15796.8151588373,-16.7218700735089,-122.220942623393,11.3005518518518,11.5540179646781,8.34401650323217,0.428930968567645
2,2018-09-07 09:46:00,1536306360.354,16353.2165567766,-16.1837985347985,-108.567761904762,13223.0609751023,-17.2999265336879,-119.904949551225,20.9026263736264,18.4944627182784,31.0756973350572,0.990408888082922
2,2018-09-07 00:46:00,1536273960.235,10024.2007362637,-17.0175347985348,-139.392538461538,11702.1629737341,-17.2531911093704,-125.92368071049,-3.25226007326009,12.1018481644731,103.827787917082,-0.530397156795439
