"MpNo";"DT";"MpNo_m";"CO2in_G";"CO2out_G";"H2Oin_G";"H2Oout_G";"ATP";"Tref";"Tcuv";"FlowOut";"FlowIn";"PAR";"H2O_P";"mH2O_P";"dDH_out";"d18O_out";"dDH_in";"d18O_in";"ShootID";"Area";"hour";"day";"month";"TrA";"dDH_ex";"dH2O";"dDH_ex_a"
1;2018-09-08 16:09:00;"1S";381;315.1;11.9;16.34;1004;20.1;20.4;533.824226732304;537.838266376919;837;21199.2944881517;21.1992944881517;-76.9951163692993;-18.1799440537546;-104.593782360661;-17.7239207968957;101;2211.444;16;8;9;1.06749640843033;68.4444360607375;152.191629608073;37.1975840145046
1;2018-09-08 16:46:00;"1S";381.3;339.5;11.7;17.73;1004;19.3;19.5;533.824226732304;536.874497180326;210;22799.3718672986;22.7993718672986;-44.8734852440647;-16.4101264690798;-98.8697859054017;-16.5723570235085;101;2211.444;16;8;9;1.44977581762407;86.4075265085737;188.658262469289;33.7090702826663
1;2018-09-08 17:23:00;"1S";380.3;344.6;12.4;17.07;1004;18.2;18.2;533.824226732304;537.985643909231;196;21447.5788767773;21.4475788767772;-39.4871867640589;-14.952886799216;-105.523454776413;-17.939321273371;101;2211.444;17;8;9;1.12279408439997;80.1359076296691;192.040709239308;37.991115410555
1;2018-09-08 18:00:00;"1S";381.7;360.6;12.9;16.34;1005;17.8;17.9;533.824226732304;538.91441641569;115;20655.662056872;20.655662056872;-52.7031501464531;-15.8658952609936;-109.126454804111;-17.9420851800581;101;2211.444;18;8;9;0.826245508641494;74.2240119414957;223.525706835778;34.4102266363538
1;2018-09-08 19:09:00;"1S";379.9;373.57;12.9;13.35;1005;16.4;16.4;533.824226732304;540.523260723653;32;16917.9013838863;16.9179013838863;-103.69909918355;-18.6072807820641;-115.281059495352;-18.4264898298247;101;2211.444;19;8;9;0.108084441537404;45.1591470729628;418.636734391523;32.1308591432456
1;2018-09-09 13:45:00;"1S";390.3;356.6;15.7;16.04;1005;16.5;16.5;533.824226732304;542.112450853004;164;20574.9229146919;20.5749229146919;-104.619219773174;-17.2204350994981;-122.769262998483;-17.6254955759543;101;2211.444;13;9;9;0.0816635716111153;33.1442610228108;721.615092771201;18.2347016091514
1;2018-09-09 14:22:00;"1S";391.9;368.9;15.77;16.46;1005;16.9;16.9;533.824226732304;541.961939235082;120;20970.5745308057;20.9705745308057;-102.055683793738;-16.9639231276093;-123.363321553587;-17.7504530518196;101;2211.444;14;9;9;0.165729001374286;33.6557012271364;376.833718958218;18.6403028609698
1;2018-09-09 14:59:00;"1S";392.1;366.8;15.61;16.3;1005;16.7;16.7;533.824226732304;541.874295423968;143;20718.1106666667;20.7181106666667;-104.610489584469;-17.0004797841638;-123.163086061666;-17.6607782979443;101;2211.444;14;9;9;0.165729027891345;31.3933486888414;331.607772758604;18.1231403218884
1;2018-09-09 16:08:00;"1S";391.6;376;15.7;16.08;1005;16.6;16.6;533.824226732304;542.090866936023;116;20334.2331090047;20.3342331090047;-118.326635687805;-17.3396643969818;-123.924699279329;-17.5923421619833;101;2211.444;16;9;9;0.0912710506241873;20.3906794880494;168.162445547888;16.8140380165374
1;2018-09-10 10:45:00;"1S";389.8;366.2;14.4;14.86;1003;15.1;15.1;533.824226732304;541.351547914428;118;18896.1613033175;18.8961613033175;-116.155894027454;-17.9222375140858;-128.655893815831;-18.2721600334007;101;2211.444;10;10;9;0.110706463654856;27.2220060852324;330.893577232087;17.5213864513746
